dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
bank_loan,msbm,0.21364134986276,0.42411688072618153,0.6421215309563859,0.02067155876574356,,,,,,20.12104344367981,0.5193509955954527,0.29455374044200955,43.28426383311461,0.22479725515344318,0
bank_loan,msbm,0.2161802450644886,0.4569670245784035,0.8595928442118108,0.013661728773288973,,,,,,20.31921100616455,0.573264937021922,0.19913588497200174,65.26285280824935,0.3741290520499203,1
bank_loan,msbm,0.19983732217212807,0.4543418062963548,0.8136600667510048,0.014420317682142914,,,,,,20.231321811676025,0.5587745637353418,0.28347774438285944,49.26795835375106,0.2752968193524824,2
bank_loan,msbm,0.19627392955841333,0.503742698290331,0.7624520730663604,0.014579698107465622,,,,,,20.096840858459473,0.5593547019383734,0.2810737436533369,49.75035649484823,0.2782809582850365,3
bank_loan,msbm,0.20164791148481637,0.4924356807180981,0.6816286225149909,0.014969678840033418,,,,,,20.493690490722656,0.4826484937172245,0.26892041180063775,44.28234723587605,0.21372808191658677,4
bank_loan,msbm,0.20551615162852127,0.46632081812187376,0.7518910275001105,0.015660596433734898,,,,,,20.2524215221405,0.5386787384016629,0.26543230505016907,50.36955574516786,0.2732464333514938,mean
bank_marketing,msbm,0.21028671657855708,0.4011151510328629,0.2573438057635083,0.011542867056198225,,,,,,99.3602340221405,0.7750964682500487,0.4826589877398155,37.72917210814744,0.2924374805102332,0
bank_marketing,msbm,0.2161785806436478,0.39556699296656916,0.32091005719042237,0.012312614875484629,,,,,,99.52160859107971,0.794467721641534,0.5290751327099992,33.40508137740059,0.26539258893153483,1
bank_marketing,msbm,0.22701926312257367,0.40605855789516426,0.6454989080511998,0.012709299756832548,,,,,,99.24538969993591,0.7902425800784588,0.45646530420907827,42.23731855049391,0.33377727586938055,2
bank_marketing,msbm,0.20312262716852625,0.4143156615115356,0.29910225487892467,0.010675752474303524,,,,,,99.39977598190308,0.80095554279245,0.5641276625727153,29.56816796523542,0.23682788021973467,3
bank_marketing,msbm,0.19930566697565963,0.3496778412651541,0.2541521669192297,0.012310598552005558,,,,,,99.41037702560425,0.8005588965074113,0.5429140106741315,32.18312693260972,0.2576448858332798,4
bank_marketing,msbm,0.21118257089779288,0.3933468409342572,0.355401438560657,0.011910226542964896,,,,,,99.3874770641327,0.7922642418539805,0.5150482195811479,35.02457338677742,0.27721602227283265,mean
online_shoppers,msbm,0.2756605045995478,0.9316552538549185,1.6077904584487541,0.018619270264498056,,,,,,38.67185306549072,0.798288510928853,0.34117951526759827,57.26112669833906,0.45710899566125474,0
online_shoppers,msbm,0.28136176797166446,1.1449723839915462,1.6082299609910167,0.0225349560623076,,,,,,35.39505696296692,0.8091999466589119,0.36783361646140345,54.54354415368616,0.4413663301975085,1
online_shoppers,msbm,0.28000024801192314,1.120666486233258,1.5511764685757854,0.021838935924946234,,,,,,35.02361249923706,0.8135496034071048,0.3404064734537554,58.1578711330999,0.4731431299533494,2
online_shoppers,msbm,0.2815063869961577,1.1266590430577519,1.5123156809277365,0.02121451717372258,,,,,,35.993359327316284,0.7588719847702052,0.3835855445254319,49.453194712203555,0.3752864402447733,3
online_shoppers,msbm,0.2740981995659267,1.0671531803684018,1.4224269279049722,0.022162586579178023,,,,,,35.99558138847351,0.8065214603572808,0.41581259046833596,48.44370411617625,0.3907088698889448,4
online_shoppers,msbm,0.2785254214290439,1.0782212695011755,1.540387899369653,0.0212740532009305,,,,,,36.2158926486969,0.7972863012244711,0.369763548035305,53.571888162700986,0.42752275318916616,mean
covertype,msbm,0.15937511098366697,0.10763231747138238,1.4458964503643246,0.01321369248498927,,,,,,703.9767169952393,0.7678129761374917,0.4551861095518259,40.71653857145596,0.31262686658566574,0
covertype,msbm,0.15760570118851813,0.0973870967218336,1.5541850304899418,0.012151212914232379,,,,,,711.1167795658112,0.7705352697558697,0.42665978082047307,44.628130915324284,0.34387548893539666,1
covertype,msbm,0.1575340719437454,0.09441173517057048,1.5841815965651793,0.012380784585710902,,,,,,681.7336955070496,0.7699497573524889,0.4028722141111931,47.67551904990664,0.3670775432412958,2
covertype,msbm,0.15857473526402227,0.047855975333915834,2.6270005378235077,0.011912193685824857,,,,,,692.2296621799469,0.7672951088255588,0.42530817598897175,44.5704565170552,0.3419869328365871,3
covertype,msbm,0.1585535442673383,0.12086831524400224,1.4552917684720834,0.011969100974077773,,,,,,645.6139912605286,0.7710987046782736,0.46543049306318907,39.64060758507159,0.3056682116150845,4
covertype,msbm,0.15832863272945824,0.0936310879883409,1.7333110767430076,0.012325396928967036,,,,,,686.934169101715,0.7693383633499365,0.43509135470713056,43.44625052776273,0.3342470086428059,mean
german_credit,msbm,0.196148829714165,1.038808091832597,0.5206824954252318,0.01404631048550109,,,,,,8.594227313995361,0.2949824273077759,0.18574492107151863,37.031869061909276,0.10923750623625728,0
german_credit,msbm,0.24553490851036366,0.9546181088261946,0.7639098369959881,0.03028469528347788,,,,,,7.9310314655303955,0.3956752807967763,0.04377697767475952,88.93613531110529,0.35189830312201675,1
