dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Pairwise_MI_Err,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Diamonds,msbm,0.11095928254877598,0.22863496165826502,0.6841690505150168,0.0060076531094880314,0.004938603394852168,3.293889641261806,,,0.004938603394852168,0.03843753458534462,66.433913230896,,,,,3,0.9825815428491846,0.9582133790391956,2.4800144056572533,0.024368163809989074
Diamonds,msbm,0.1014910251368512,0.14452352817827413,0.5041841286791899,0.005710923168146476,0.006245700683646965,2.596971839274907,,,0.006245700683646965,0.032643871739502756,68.84200286865234,,,,,4,0.9815782766010357,0.9552239517424643,2.684892839094801,0.026354324858571365
Diamonds,msbm,0.09861384412200941,0.1766691438285024,0.5073911426806021,0.004788699330806945,0.005471142824528147,2.956699862149258,,,0.005471142824528147,0.035312444475683394,65.77759222984314,,,,,mean,0.9823239691415389,0.9567537289862343,2.6031736197253466,0.025570240155304513
Real Estate,msbm,0.34964529267514144,1.073913041510678,1.0812701168172378,0.04983071566046193,0.1163653055309681,0.0,0.1163653055309681,0.0,,,17.955092668533325,,,,,0,0.47178828451538046,0.3418588299685765,27.539779772248284,0.12992945454680394
Real Estate,msbm,0.25474000019047455,1.2659167744495194,1.15410128793597,0.026507813806064318,0.07220494917263691,0.0,0.07220494917263691,0.0,,,16.21287989616394,,,,,1,0.6999529730707674,0.5676230199331831,18.9055491195414,0.13232995313758433
Real Estate,msbm,0.23082557690432917,1.0976246580975921,0.8157189411413741,0.02225300344967346,0.12369279633221243,0.0,0.12369279633221243,0.0,,,19.437670946121216,,,,,2,0.599967413526965,0.5644810856162892,5.9147092176333596,0.03548632791067585
Real Estate,msbm,0.27788875689251485,0.8432876247097169,0.8836144596659938,0.0373011141897025,0.10508988990275067,0.0,0.10508988990275067,0.0,,,17.446951150894165,,,,,3,0.7565627627750692,0.5613056337621696,25.808450880756705,0.1952571290128996
Real Estate,msbm,0.29208328102409953,0.8342364277599228,1.1198359942970222,0.041422208531745885,0.24702578387985516,0.0,0.24702578387985516,0.0,,,17.852956771850586,,,,,4,0.6886466684691261,0.6970525063976847,-1.2206314665320117,-0.008405837928558535
Real Estate,msbm,0.2810365815373119,1.0229957053054857,1.0109081599715197,0.03546297112752962,0.13287574496368465,0.0,0.13287574496368465,0.0,,,17.781110286712646,,,,,mean,0.6433836204714616,0.5464642151355805,15.389571504729549,0.09691940533588103
Stroke Prediction,msbm,0.12788302704959906,0.12592269126467384,0.3097743207590144,0.010851437525499663,0.0023142591643086695,6.634101765405025,0.002171270460810372,0.12821593344282736,0.002400052386407648,0.043201313351721095,58.15438961982727,0.5178362301329119,0.487279843444227,5.900781928843042,0.030556386688684933,0,,,,
